raw_name,name,type
노가리앤비어  이도일동점,노가리앤비어 제주이도1동점,"맥주,호프"
쪼개쪼개조개구이,쪼개쪼개조개구이,조개요리
메가엠지씨커피제주일주서로점,메가MGC커피 제주일주서로점,카페
스시제주,스시제주,"초밥,롤"
이비가짬뽕연동점,이비가짬뽕 제주연동점,중식당
은희네해장국,은희네해장국 서귀포점,해장국
노라바,노라바,라면
망고홀릭제주본점,망고홀릭 제주본점,"카페,디저트"
제주몹시,제주몹시,"카페,디저트"
서귀포이고집,서귀포이고집,한식
민스펍,,
쌍둥이횟집본점,쌍둥이횟집본점,생선회
나이체,나이체,"카페,디저트"
파리바게뜨신제주점,파리바게뜨 신제주점,베이커리
제주도 고기국수 만세국수,제주도 고기국수 만세국수,국수
참좋은해물라면애월점,참좋은해물라면 애월,한식
정글북바이앨리스,,
동경생포차연동점,,
솔담,솔담 제원점,요리주점
"영빈횟집,해변의 집 영빈",영빈횟집 서귀포본점,생선회
공룡마라탕앤꼬치7호점,공룡마라탕&꼬치 7호점,중식당
계절식탁향토,계절식탁 함덕점,한식
주식회사 협재칼국수,협재칼국수,"칼국수,만두"
모이소,모이소,인테리어소품
바당길 서귀포점,바당길 서귀포점,한식
아싸살아있네,아싸살아있네,생선회
파리바게뜨제주애월점,파리바게뜨 제주애월점,베이커리
카페드노아,카페드노아,"카페,디저트"
무공돈까스제주이도점,,
탐나는식당몸국.고사리해장국,탐나는식당 몸국 고사리해장국,향토음식
바다풍경,바다풍경 정육식당 흑돼지 용담탑동본점,돼지고기구이
맥주창고,맥주창고,"맥주,호프"
훈이숯불갈비,,
서프스시,서프스시,일식당
함덕해장국,제주순풍해장국 함덕점,해장국
셰프앤서서아이스크림,,
꿈낭밥집,꿈낭밥집,한식
전망좋은집,예뜰,펜션
블랑로쉐,블랑로쉐,"카페,디저트"
하나로휴게음식점,하나로휴게음식점,"도시락,컵밥"
우정회관,,
네네치킨노형점,네네치킨 노형점,"치킨,닭강정"
구삼화로,,
화돗,화돗,돼지고기구이
옹포83,옹포83,양식
태희곽지,카페태희,양식
주식회사 제주피슈마라홍탕,피슈마라홍탕 제주시청점,마라탕
도도름한우와흑돈,도도름 한우와흑돈,돼지고기구이
엔,엔야끼니꾸 제주점,일식당
비에이치씨함덕점,BHC치킨 제주함덕점,"치킨,닭강정"
할매식당,할매식당,"해물,생선요리"
피자와치킨의러브레터,피자와 치킨의 러브레터 안덕점,피자
마이도,마이도 제주본점,이자카야
잇칸시타,잇칸시타,일식당
카페블루탐,,
꼬꼬앤쿡,꼬꼬앤쿡,"치킨,닭강정"
연태만,연태만,중식당
바다가는길,바다가는길,"카페,디저트"
제주세호해장국노형직영점,,
세이슌,,
도원춘,도원춘,중식당
금보식당,금보,생선회
애월할망네,애월할망네,국밥
마초왕갈비,마초왕갈비,"육류,고기요리"
황금고팡,,
월정항아리갈치구제주해물통,월정항아리 갈치,"해물,생선요리"
양푼속닭한마리,양푼속닭한마리,닭볶음탕
짬뽕에취한날,짬뽕에취한날,중식당
신동성식당,동성식당,한식
충민정,제주갈치 충민정,"해물,생선요리"
용해로,용해로해장국 제주용두암본점,한식
대포해송,해송횟집,생선회
제주코시롱,제주 코시롱,한식
자키커피,자키커피,"카페,디저트"
백번,,
산방산우리동네,산방산우리동네,"육류,고기요리"
대한민육,,
픽스커피공단점,픽스커피 공단점,"차,커피"
온정숯불구이,온정갈비,"육류,고기요리"
제주세호해장국연동점,제주세호해장국 연동직영점,한식
제라진국밥,제라진국밥,국밥
호맥,호맥,"맥주,호프"
마케집제주,,
교촌치킨세화점,교촌치킨 세화점,"치킨,닭강정"
게슈탈트 커피 제주,,
응그레,,
돌갱이네집,돌갱이네집,한식
삼형제시골순대,삼형제시골순대,"순대,순댓국"
무지개맥주 제주일도본점,무지개맥주 일도본점,"맥주,호프"
야키토리 타키비,서귀포 이자카야 야키토리 타키비,이자카야
제주도감 주식회사,,
흑마가든,,
제주태원,제주태원갈비,"육류,고기요리"
아늑월정함덕점,아늑 구좌월정리점,"육류,고기요리"
표선반점,표선반점,중식당
이한식당,이한식당,한식
빨간집서귀포점,빨간집서귀포점,한식
육지것들,육지것들,포장마차
팔도실비집신서귀포점,팔도실비집 신서귀포점,포장마차
스테이지하우스 제주카이트서핑,스테이지하우스 제주카이트서핑,"서핑,윈드서핑"
커피베이 제주공항국내선1호점,커피베이제주국제공항1호점,카페
돈가,돈가도,"육류,고기요리"
우돈채,우돈채,샤브샤브
미풍해장국광령점,미풍해장국 광령점,해장국
가담국수 하귀점,가담국수 하귀점,한식
어반 르토아,어반르토아,브런치카페
삼강식당중문점,삼강식당 중문점,오리요리
써브웨이제주시청점,써브웨이제주시청점,샌드위치
카페오가다제주점,,
배롱개,배롱개,국수
으뜨미,으뜨미,"해물,생선요리"
커피빈 제주애월DT점,커피빈 제주애월DT점,카페
카페파스쿠찌 일도점,파스쿠찌 일도점,카페
우정곱창서귀포점,우정곱창 서귀포점,"곱창,막창,양"
이어도식당,이어도식당,한정식
어진이네횟집,어진이네 횟집,생선회
주식회사 학산 서귀포지점,,
30년할매닭발모슬포점,30년할매닭발 모슬포점,야식
유채꽃 향기처럼,,
디앤,디앤이수학,수학교육
오가다 제주공항점,오가다 제주공항2호점,차
홀리싯커피서플라이,홀리싯커피서플라이,카페
피자헛 이도점,피자헛 제주이도점,피자
흑돼지떡갈비올레시장맛집점,흑돼지떡갈비 올레시장맛집점,아이스크림
경애관,경애관,생선회
반올림피자샵 제주점,반올림피자 제주점,피자
곶자왈화덕피자,곶자왈화덕피자,피자
연동송림,송림식당,닭볶음탕
주식회사 쿼드라 NLCS제주지점,,
첨밀밀양고기,첨밀밀양고기,한식
꼬지사께연동점,꼬지사께 제주연동점,"오뎅,꼬치"
한이장식당,한이장식당,한식
마라양꼬치,마라양꼬치,양꼬치
제주공항본점공항뚝배기,공항뚝배기 제주공항본점,한식
중국집마씸,중국집마씸,중식당
돈마루2호점,돈마루,"육류,고기요리"
육싸롱,육싸롱,"육류,고기요리"
어촌계회센타,애월어촌계회센타,생선회
전원일기동광점,전원일기 동광점,한식
제주오라방,제주오라방,요리주점
도리스,,
꺼멍연탄구이,꺼멍연탄구이 신화월드점,돼지고기구이
도남해돈가,해돈가,돼지고기구이
제주스,제주스,"과일,주스전문점"
군족서귀포점,군족 서귀포점,"족발,보쌈"
(주)옹포바다횟집,옹포바다횟집,한식
파리바게뜨제주봉개점,파리바게뜨 제주봉개점,베이커리
협재김씨술생활집,협재술집김씨술생활,이자카야
모어댄댓,모어댄댓,"스파게티,파스타전문"
커피냅로스터스 제주,커피냅로스터스 제주,"카페,디저트"
항아리조림,항아리조림,"해물,생선요리"
아라돈사촌,아라돈사촌,돼지고기구이
뽈살집,뽈살집한림점,돼지고기구이
메가엠지씨커피516도로점,메가MGC커피 제주516도로점,카페
카페 쌀쌀,,
샤브앤샤브,샤브 앤 샤브,샤브샤브
원보부페,원보뷔페본점,샤브샤브
더벤티 해비치리조트점,더벤티 해비치리조트점,카페
협재해물라면쪼꼴락상회,협재해물라면 쪼꼴락상회,라면
(주)바다바라,,
꿈낭,꿈낭,한식
마루엔파니야,,
튀메기,,
이것이국밥이다 서귀포점,이것이국밥이다 서귀포점,한식
장흥식당,장흥식당,한식
표선풍천장어,표선풍천장어,한식
루스트플레이스베라체점,루스트플레이스베라체점,패밀리레스토랑
(주)커피빈코리아,커피빈 제주아라점,카페
제주정낭집,제주정낭집,낙지요리
휴계농장외도점,휴계농장 외도점,한식
사리원,사리원,중식당
잇수다,잇수다,양식
채색,채색,"카페,디저트"
돌돌이,돌돌이숯불갈비 연동점,한식
역전할머니맥주외도점,역전할머니맥주 외도점,"맥주,호프"
제주고기국수만세국수,제주 고기국수 만세국수,국수
인,지니스 안경 일도인제사거리점,안경원
저지해장국,저지해장국,해장국
다랑시,다랑시,국수
육회공작소,육회공작소 제주연동점,소고기구이
그리트커피(Gr iet Coffee),그리트커피,카페
스시애월,스시애월,"초밥,롤"
풍년식당,풍년식당,국수
주식회사 삼양상사,,
이어돈 성산 그 두번째이야기,이어돈 성산 그 두번째이야기,돼지고기구이
메종드쁘띠푸르(공항점),메종드쁘띠푸르 공항점,베이커리
바다보는날,조각가 해물라면 바다보는날 애월해안도로점,라면
해비치불턱,해비치불턱카페,카페
디디씨치킨,디디씨치킨 신창점,DDC치킨
해미원횟집,자연산전문 해미원횟집,생선회
호로락,호로락,한식
뜰채,뜰채 제주함덕점,한식
모들한상,모들한상,양식
대패고기집,윤가네흑돼지대패삼겹살 제주함덕흑돼지,돼지고기구이
예래미반,예래미반,한정식
동해수산회센타,동해수산회센타,생선회
제주관덕정분식,,
주식회사 제이콥에프앤비 무민카페제주점,제이콥 무민카페제주점,"카페,디저트"
너럭,,
상상함덕점,상상 함덕점,이자카야
공간키친,공간키친 제주시청,요리주점
신삼다,,
영은맛집,영은맛집,국수
옛집투,,
샤브마니아 제주삼화점,샤브마니아 제주삼화점,샤브샤브
태진해장국,태진해장국,해장국
삼계별장,삼계별장,한식
제주미담,제주미담,한식
왕가탕후루,왕가탕후루 시청점,"카페,디저트"
불닭공장모슬포점,불닭공장 모슬포점,불닭
영주산성식당,영주산성,향토음식
수영밥상본점,수영밥상 외도본점,한식
두갓,두갓,카페
강풍해장국,강풍해장국,해장국
낭불화로구이 제주신화월드점,낭불 화로구이 제주신화월드점,"육류,고기요리"
임성반점,임성반점,중식당
탐라요정 신제주점,탐라요정 신제주점,요리주점
산도롱맨도롱 제주공항점,,
청춘괴기생고기전문점,,
(주)블루밍그릴,,
유신횟집,유신횟집,한식
저지오름반점,저지오름반점,중식당
김영미재첩해장국,김영미제첩해장국,한식
공룡마라탕앤꼬치6호점,공룡마라탕&꼬치 아라6호점,중식당
그란데,그란데,"멕시코,남미음식"
산촌오리외도점,,
루스트플레이스칠성로점,,
솜빡매생이갈비탕,솜빡매생이갈비탕,한식
주식회사 파란나라,,
주식회사 제주1번가,,
바르다김선생이도점,바르다김선생 제주이도점,분식
국수마씸,국수마씸&고사리마씸,한식
서울불고기,서울불고기,"육류,고기요리"
방글방글,방글방글,"칼국수,만두"
벌크커피신제주점,벌크커피 신제주점,테이크아웃커피
제주돈토랑,제주돈토랑,돼지고기구이
해다미,해다미횟집,생선회
올레자매밥집,올레자매밥집,"백반,가정식"
대영수산직영회센타,,
해수육장,해수육장,한식
갈치관,갈치관 애월해안도로점,향토음식
통큰코다리,통큰코다리,한식
다시또오리,다시또오리,오리요리
풍원,풍원,한식
자매정식,자매정식,한식
미국식제주점,미국식 제주점,햄버거
이로운술상,이로운술상,요리주점
골목돼지,골목돼지,돼지고기구이
그리울땐제주,그리울땐제주,"카페,디저트"
세화어머니손맛,세화어머니손맛,한식
육회본가제주직영점,,
우무공항,우무,"카페,디저트"
가르텐노형점,,
스시한점오마카세,,
올레시장에 갓더라면,올레시장에 갓더라면 서귀포점,라면
노형막창고을,노형막창고을,"곱창,막창,양"
김준호의대단한갈비 제주도남점,김준호의대단한갈비 제주도남점,밀키트
마라도해녀촌,마라도해녀촌짜장,중식당
중문해물라면오빠네본점,중문해물라면오빠네 본점,종합분식
흑돼지가노는집,흑돼지가노는집,"육류,고기요리"
최남단식당,최남단식당,생선회
고기장,고기장,돼지고기구이
서가도삼계탕,서가도녹차삼계탕,한식
굽네치킨 영어도시점,굽네치킨 제주영어도시점,"치킨,닭강정"
친정집,친정집 국수,국수
서귀포하르방식당,서귀포 하르방식당,"백반,가정식"
노모어블루스,노모어블루스,양식
망고레이 천지연폭포점,,
내도음악상가,내도음악상가,와인
주식회사로컬리지,,
대아갈비,대아갈비,"육류,고기요리"
소랑아시,,
모락모락왕만두,,
옵서예,옵서예,한식
파파파,파파파,양식
와와치킨,와와치킨호프,"치킨,닭강정"
교촌치킨함덕점,교촌치킨 함덕점,"치킨,닭강정"
도립,제주곶자왈도립공원,도립공원
제주할망뚝배기,제주할망뚝배기,한식
천지연무태장어신서귀포점,천지연무태장어,"장어,먹장어요리"
조림명가,조림명가,"해물,생선요리"
(주)오제이상사애월지점 낭푼밥상,,
빽다방서귀포하원점,빽다방 서귀포하원점,테이크아웃커피
해피소울라운지,해피소울라운지,바(BAR)
강명선샤브샤브,강명선샤브샤브,샤브샤브
옛날아우내순대중문점,,
구남로7길,정성법률사무소 고민정변호사사무소,법률사무소
김복남맥주1995서귀포혁신도시점,,
릇,아워키친,주방용품
김밥명가,김밥명가 서귀포점,김밥
동백정원,동백정원,브런치
막창먹는놈,놈놈놈막창,"곱창,막창,양"
이태리치킨,이태리치킨 법환본점,"치킨,닭강정"
제일성심당,제일성심당,베이커리
제미니국수,제미니국수 서귀포본점,국수
관심사,관심사,"카페,디저트"
60계제주아라점,60계 치킨 제주아라점배달,"치킨,닭강정"
미백담,미백담 중문본점,중식당
빨간맛집성산점,빨간집 성산점배달,불닭
영자네해장국,,
잇잇,잇잇,덮밥
제주막창,제주막창,"곱창,막창,양"
중문해물탕,,
웨이브메이커컴퍼니 주식회사,,
성산풍천장어,성산풍천장어,"장어,먹장어요리"
옛날통닭 성산점,옛날통닭 성산점,"치킨,닭강정"
남문숯불바베큐앤치킨한림점,,
이화원,이화원,중식당
시골못난이투,시골못난이투,한식
회춘 애월점,회춘 애월점,브런치
제주청정원한우마당,제주청정원한우마당,정육식당
도마도숯불갈비,도마도숯불갈비,"육류,고기요리"
각지불,각지불,"아귀찜,해물찜"
매머드익스프레스 제주아라이도점,,
동해미락,동해미락,생선회
이레해물,,
섭지코지로,휘닉스 아일랜드,"콘도,리조트"
색달해장,색달해장,해장국
오닉스,,
으뜸아이스크림할인점강정점,으뜸아이스크림할인점 강정점,가공식품
다정이네,다정이네 올레시장 본점,김밥
주식회사 명륜진사갈비 아라점,명륜진사갈비 제주아라점,"육류,고기요리"
더시크릿,더시크릿,바(BAR)
쿵푸티 제주신화월드점,,
옹포별장가든,옹포별장가든,향토음식
뚜레쥬르 일도점,뚜레쥬르 제주일도점,베이커리
감정,오늘의감정 오감,"카페,디저트"
한담팥빵,한담팥빵,베이커리
대어호,대어호횟집,생선회
명리동식당,명리동식당,돼지고기구이
어우늘,어우늘,전복요리
맛존디,맛존디 국수,국수
프랭크버거 제주표선점,,
한화호텔앤드리조트(주)제주지점,,
조마루뼈다귀 시청점,조마루감자탕 시청점,감자탕
큰맘할매순대국조천점,큰맘할매순대국 제주조천점,"순대,순댓국"
피자탑 신제주점,피자탑 신제주점,피자
제주할망밥상 표선점,제주할망밥상 표선점,생선구이
로쿤커피,로쿤커피,"카페,디저트"
전포여관제주시청점,전포여관 제주시청점,요리주점
그늘집,소담은해장국그늘집,해장국
옥이네복돼지,옥이네복돼지,돼지고기구이
동남팔팔회센타,성산회포장 동남팔팔회센터,수산물
예닮국수,예닮국수,국수
피자베이제주점,피자베이 제주점,피자
시키,시키,"초밥,롤"
투썸플레이스 제주애월다인호텔점,투썸플레이스 애월다인호텔점,카페
일번가,전복죽일번가 애월해안도로본점,"해물,생선요리"
돼지촌,돼지촌 제주본점,"육류,고기요리"
빨간집제원점,빨간집 제원점,한식
채점석 베이커리 혁신도시점,채점석 베이커리 혁신도시점,베이커리
제주감자탕,제주감자탕 3호점,감자탕
고객식당,고객식당,한식
방과후카페2,,
제이제이케터링(주)BHA,,
천지연숯화로구이,천지연숯화로구이,"육류,고기요리"
주식회사 클럽올레,,
석봉이네,석봉이네밥집,"백반,가정식"
더치앤빈노형점,더치앤빈 제주노형점,카페
"루마인,퍼즈,투썸플레이스제주루마인점",,
봄봄,카페봄봄 제주한경점,카페
섭지코지해녀밥상,섭지코지 해녀밥상,향토음식
팔공티 노형점,팔공티 제주노형점,차
즐겨찾기,즐겨찾기,중식당
산전수전,산전수전,"전,빈대떡"
우리웰빙식당,웰빙식당,"해물,생선요리"
빽다방제주연북로점,빽다방 제주연북로점,테이크아웃커피
김준호의대단한갈비 제주용담점,김준호의대단한갈비 제주도남점,밀키트
여진오메기떡,여진오메기떡,"떡,한과"
서영이네 해돈가,서영이네해돈가,한식
애월은혜전복,애월은혜전복 제주애월본점,한식
명륜진사갈비 중문점,명륜진사갈비 제주중문점,"육류,고기요리"
정원,고흐의정원,"관람,체험"
서귀포통큰장어,서귀포 통큰장어,한식
인쌩맥주제주연동점,인쌩맥주 제주연동점,"맥주,호프"
세안아구찜,세안아구찜,한식
이치진,이치진,"육류,고기요리"
면담,,
오라방라운지,오라방라운지,"맥주,호프"
서광마을국수,,
궁한스샤브신제주점,궁한스샤브 신제주점,샤브샤브
가건물,가건물,요리주점
고마로 갈비탕,고마로갈비탕,갈비탕
영덕대게마을,영덕대게마을,대게요리
교촌치킨 애월하귀점,교촌치킨 외도하귀점,"치킨,닭강정"
성원식당,성원식당,한식
폭풍장어이도점,,
하타나카,하타나카,이자카야
도남막창,도남막창구이,"곱창,막창,양"
윤,도윤철학관,"운세,사주"
제주애월회관,애월회관 애월흑돼지 애월곽지,돼지고기구이
싱싱프루츠,싱싱프루츠 제주이도점,"과일,주스전문점"
오르막가든,오르막가든 중문본점,돼지고기구이
에이바우트연동신시가지점,에이바우트커피 연동신시가지점,카페
돈해상,돈해상 제주한림협재흑돼지,"육류,고기요리"
서울 돈까스&김밥,서울돈까스앤김밥,돈가스
청춘부부,청춘부부,"카페,디저트"
괸당집성산점,괸당집 성산점,돼지고기구이
이익새,이익새양과점,베이커리
신의한근,신의한근,"육류,고기요리"
제주할망밥상모슬포점,제주할망밥상 모슬포점,한식
원풍해장국,원풍해장국 함덕점,해장국
세미식당,세미식당,한식
애월포차,애월포차,포장마차
신미민물장어,신미민물장어,"장어,먹장어요리"
옛날홍가네칼국수,옛날홍가네칼국수,"칼국수,만두"
바그다드,바그다드,인도음식
메가엠지씨커피제주남녕점,메가MGC커피 제주남녕점,카페
조은,중문갈치조림 이조은식당,"해물,생선요리"
안주,안주,일식당
아름이네분식,아름이네분식,종합분식
가장맛있는족발이도점,,
남원수제돈까스,남원수제돈까스,돈가스
방일해장국제주점,방일해장국제주본점,해장국
중문수두리보말칼국수,중문수두리보말칼국수,"칼국수,만두"
핏제리아 필리아 (PIZZERIA Philia),핏제리아필리아 화덕핏자 &파스타 제주 아라점,피자
하효살롱협동조합,하효살롱협동조합,"관람,체험"
용꽈배기신제주점,용꽈배기,베이커리
신설돈가,신설돈가,"육류,고기요리"
국빈대반점,국빈대반점,중식당
한짓골갈비,한짓골갈비,"육류,고기요리"
토담집,토담집,한식
바다다,바다다,"카페,디저트"
솔트스톤,솔트스톤,카페
에이바우트커피연북로점,에이바우트커피 연북로점,카페
귤하르방,귤하르방 올레시장점,베이커리
해녀짬뽕,성산 해녀짬뽕,중식당
성산포마농치킨5호점,마농치킨 5호점,"치킨,닭강정"
주식회사에이바우트스타디움,에이바우트커피 스타디움점,카페
산야,산야,이자카야
장모술상,장모술상,포장마차
제주나기,제주나기,일식당
공푸마라탕,공푸마라탕,중식당
녹색집,녹색집,한식
용꽈배기,용꽈배기,베이커리
오돈가,오돈가,"육류,고기요리"
천지연무태장어서귀포점,선반내천지연무태장어,"장어,먹장어요리"
교촌치킨 노형점,교촌치킨 노형점,"치킨,닭강정"
에이바우트커피베라체점,에이바우트커피 베라체점,카페
제주그때그집 중문점,색달그때그집,돼지고기구이
오래옥,오래옥식당,생선회
(주)제이콥에프앤비 제주아일랜드점,,
교래손칼국수,원조교래손칼국수,"칼국수,만두"
두가시의 부엌,두가시의부엌,"해물,생선요리"
바당한그릇,바당한그릇,일식당
랍스터빈,,
서사라모이세해장국직영점,서사라모이세해장국,해장국
무무(mumu),,
해녀세자매,제주도 해녀세자매 협재본점,"해물,생선요리"
해안로412,사일리커피,카페
한마음정육식당삼화점,한마음정육식당 제주삼화점,"육류,고기요리"
모이세본점,모이세해장국 노형점,해장국
순두부엔짬뽕,순두부엔짬뽕,두부요리
